estacion_id,fecha_utc,nivel_m,precip_mm_1h,precip_mm_24h,caudal_estimado,rssi,bateria_pct,fuente_comunicacion,target_riesgo
CHILLON_001,2026-01-20T01:00:00Z,1.71,0.1,1.8,3.85,-72,82.3,gsm,0
CHILLON_001,2026-01-20T02:00:00Z,1.64,2.2,9.3,3.71,-71,81.9,gsm,0
CHILLON_001,2026-01-20T03:00:00Z,1.64,1.8,10.0,3.35,-93,81.5,satelital,0
CHILLON_001,2026-01-20T04:00:00Z,1.6,0.2,7.8,3.51,-66,81.2,satelital,0
CHILLON_001,2026-01-20T05:00:00Z,1.58,1.6,7.8,3.82,-78,80.9,lorawan,0
CHILLON_001,2026-01-20T06:00:00Z,1.49,0.3,10.6,3.41,-84,53.7,satelital,0
CHILLON_001,2026-01-20T07:00:00Z,1.4,1.0,10.6,2.53,-69,53.2,lorawan,0
CHILLON_001,2026-01-20T08:00:00Z,1.29,1.9,5.9,2.55,-72,52.8,gsm,0
CHILLON_001,2026-01-20T09:00:00Z,1.28,3.0,6.6,2.62,-75,52.6,gsm,0
CHILLON_001,2026-01-20T10:00:00Z,1.19,2.1,2.3,2.7,-89,52.2,satelital,0
CHILLON_001,2026-01-20T11:00:00Z,1.12,0.5,0.2,2.89,-87,51.9,satelital,0
CHILLON_001,2026-01-20T12:00:00Z,1.07,0.0,3.4,2.75,-88,51.7,satelital,0
CHILLON_001,2026-01-20T13:00:00Z,1.09,1.7,8.2,2.79,-60,51.5,gsm,0
CHILLON_001,2026-01-20T14:00:00Z,1.05,1.9,9.3,2.14,-92,51.2,gsm,0
CHILLON_001,2026-01-20T15:00:00Z,0.92,2.3,7.5,1.83,-69,50.9,gsm,0
CHILLON_001,2026-01-20T16:00:00Z,0.96,0.1,3.5,1.78,-83,50.7,gsm,0
CHILLON_001,2026-01-20T17:00:00Z,0.85,0.4,3.2,2.07,-77,50.4,satelital,0
CHILLON_001,2026-01-20T18:00:00Z,0.83,2.1,11.3,1.55,-75,50.2,lorawan,0
CHILLON_001,2026-01-20T19:00:00Z,0.81,2.9,10.0,2.11,-93,49.9,lorawan,0
CHILLON_001,2026-01-20T20:00:00Z,0.74,2.0,11.0,1.71,-73,49.6,satelital,0
CHILLON_001,2026-01-20T21:00:00Z,0.63,2.6,4.0,1.61,-66,49.2,satelital,0
CHILLON_001,2026-01-20T22:00:00Z,0.64,2.9,4.9,1.49,-83,48.8,gsm,0
CHILLON_001,2026-01-20T23:00:00Z,0.56,1.9,9.1,1.42,-110,48.6,gsm,0
CHILLON_001,2026-01-21T00:00:00Z,0.53,2.1,3.7,1.05,-88,48.1,lorawan,0
CHILLON_001,2026-01-21T01:00:00Z,0.53,2.1,6.1,1.37,-71,47.9,gsm,0
CHILLON_001,2026-01-21T02:00:00Z,0.48,2.6,10.4,1.02,-95,47.5,satelital,0
CHILLON_001,2026-01-21T03:00:00Z,0.36,1.7,7.9,0.79,-71,47.2,satelital,0
CHILLON_001,2026-01-21T04:00:00Z,0.35,2.9,2.9,0.75,-71,47.0,gsm,0
CHILLON_001,2026-01-21T05:00:00Z,0.26,2.0,1.8,0.67,-67,46.8,satelital,0
CHILLON_001,2026-01-21T06:00:00Z,0.26,0.4,10.5,0.63,-70,46.6,satelital,0
CHILLON_001,2026-01-21T07:00:00Z,0.32,2.6,4.6,0.77,-91,46.1,gsm,0
CHILLON_001,2026-01-21T08:00:00Z,0.26,3.0,9.0,0.6,-76,45.7,lorawan,0
CHILLON_001,2026-01-21T09:00:00Z,0.27,0.2,4.3,0.58,-84,45.3,satelital,0
CHILLON_001,2026-01-21T10:00:00Z,0.3,0.7,11.0,0.6,-77,19.0,lorawan,0
CHILLON_001,2026-01-21T11:00:00Z,0.35,2.8,11.9,0.82,-71,18.7,lorawan,0
CHILLON_001,2026-01-21T12:00:00Z,0.73,11.1,92.5,1.89,-92,18.3,gsm,1
CHILLON_001,2026-01-21T13:00:00Z,1.15,14.1,101.0,2.39,-87,18.0,gsm,1
CHILLON_001,2026-01-21T14:00:00Z,1.48,8.8,68.2,2.77,-84,17.8,gsm,0
CHILLON_001,2026-01-21T15:00:00Z,1.66,9.3,74.4,4.2,-77,17.3,satelital,0
CHILLON_001,2026-01-21T16:00:00Z,25.0,1.4,0.9,3.72,-60,16.9,satelital,1
CHILLON_001,2026-01-21T17:00:00Z,1.51,0.4,4.4,3.18,-81,16.6,gsm,0
CHILLON_001,2026-01-21T18:00:00Z,1.45,1.7,11.0,3.57,-69,16.1,lorawan,0
CHILLON_001,2026-01-21T19:00:00Z,1.51,0.9,5.9,2.88,-61,15.8,gsm,0
CHILLON_001,2026-01-21T20:00:00Z,1.39,2.7,7.9,3.55,-82,15.6,lorawan,0
CHILLON_001,2026-01-21T21:00:00Z,1.36,0.3,8.2,2.84,-88,15.4,satelital,0
CHILLON_001,2026-01-21T22:00:00Z,1.17,0.6,7.7,2.42,-82,14.9,gsm,0
CHILLON_001,2026-01-21T23:00:00Z,1.14,0.6,10.4,2.87,-86,14.8,gsm,0
LURIN_001,2026-01-20T00:00:00Z,0.92,0.0,9.5,1.78,-62,89.7,lorawan,0
LURIN_001,2026-01-20T01:00:00Z,0.91,2.3,6.2,2.33,-62,89.6,gsm,0
LURIN_001,2026-01-20T02:00:00Z,0.87,0.2,5.7,1.91,-90,89.1,lorawan,0
LURIN_001,2026-01-20T03:00:00Z,0.77,0.8,7.6,2.0,-68,88.8,gsm,0
LURIN_001,2026-01-20T04:00:00Z,0.76,2.0,10.5,1.63,-66,88.4,gsm,0
LURIN_001,2026-01-20T05:00:00Z,0.64,1.3,8.0,1.62,-90,88.2,gsm,0
LURIN_001,2026-01-20T06:00:00Z,0.62,2.4,6.7,1.28,-68,88.1,gsm,0
LURIN_001,2026-01-20T07:00:00Z,0.58,0.9,3.7,1.12,-73,87.8,satelital,0
LURIN_001,2026-01-20T08:00:00Z,0.53,0.8,2.7,1.28,-101,87.4,gsm,0
LURIN_001,2026-01-20T09:00:00Z,0.43,0.8,2.2,0.89,-70,87.3,gsm,0
LURIN_001,2026-01-20T10:00:00Z,0.66,6.3,56.4,1.37,-90,87.1,lorawan,0
LURIN_001,2026-01-20T11:00:00Z,0.91,11.6,100.5,1.99,-63,86.8,satelital,1
LURIN_001,2026-01-20T12:00:00Z,1.19,12.1,101.3,2.35,-82,86.3,lorawan,1
LURIN_001,2026-01-20T13:00:00Z,1.39,12.9,92.2,2.98,-81,86.2,gsm,1
LURIN_001,2026-01-20T14:00:00Z,1.51,6.6,62.8,3.83,-70,85.7,satelital,0
LURIN_001,2026-01-20T15:00:00Z,1.56,1.2,11.6,3.38,-68,85.4,lorawan,0
LURIN_001,2026-01-20T16:00:00Z,1.46,1.2,0.9,2.89,-88,84.9,lorawan,0
LURIN_001,2026-01-20T17:00:00Z,1.38,1.0,8.7,2.74,-86,84.8,gsm,0
LURIN_001,2026-01-20T18:00:00Z,1.29,2.9,7.5,2.92,-75,84.4,gsm,0
LURIN_001,2026-01-20T19:00:00Z,1.25,1.3,5.6,2.84,-66,84.2,lorawan,0
LURIN_001,2026-01-20T20:00:00Z,1.08,0.9,7.7,2.46,-93,83.9,gsm,0
LURIN_001,2026-01-20T21:00:00Z,1.04,1.0,5.7,1.96,-90,83.5,lorawan,0
LURIN_001,2026-01-20T22:00:00Z,1.04,2.1,11.9,2.17,-74,83.0,lorawan,0
LURIN_001,2026-01-20T23:00:00Z,1.02,1.9,0.8,2.07,-86,82.6,gsm,0
LURIN_001,2026-01-21T00:00:00Z,0.94,2.8,3.7,1.79,-60,82.2,satelital,0
LURIN_001,2026-01-21T01:00:00Z,0.86,2.0,9.9,1.91,-121,81.9,lorawan,0
LURIN_001,2026-01-21T02:00:00Z,0.86,1.0,9.2,1.65,-63,81.6,gsm,0
LURIN_001,2026-01-21T03:00:00Z,0.69,0.1,4.0,1.45,-85,81.5,lorawan,0
LURIN_001,2026-01-21T04:00:00Z,0.65,2.0,2.9,1.56,-76,81.2,satelital,0
LURIN_001,2026-01-21T05:00:00Z,0.6,0.6,8.1,1.45,-69,80.8,lorawan,0
LURIN_001,2026-01-21T06:00:00Z,0.57,0.4,3.0,1.28,-88,80.6,lorawan,0
LURIN_001,2026-01-21T07:00:00Z,0.53,2.7,1.8,1.05,-94,80.4,satelital,0
LURIN_001,2026-01-21T08:00:00Z,0.38,0.7,11.9,0.97,-86,79.9,satelital,0
LURIN_001,2026-01-21T09:00:00Z,0.35,1.4,10.0,0.8,-86,65.1,gsm,0
LURIN_001,2026-01-21T10:00:00Z,0.27,1.3,9.3,0.54,-91,64.8,satelital,0
LURIN_001,2026-01-21T11:00:00Z,0.26,0.0,6.2,0.56,-69,64.4,gsm,0
LURIN_001,2026-01-21T12:00:00Z,0.3,2.9,0.8,0.78,-65,64.1,satelital,0
LURIN_001,2026-01-21T13:00:00Z,0.28,0.8,0.2,0.67,-74,63.8,satelital,0
LURIN_001,2026-01-21T14:00:00Z,0.3,2.4,2.1,0.71,-91,63.4,satelital,0
LURIN_001,2026-01-21T15:00:00Z,0.28,0.6,9.5,0.57,-65,63.2,gsm,0
LURIN_001,2026-01-21T16:00:00Z,0.28,1.1,9.4,0.53,-67,62.9,satelital,0
LURIN_001,2026-01-21T17:00:00Z,0.33,0.6,8.3,0.66,-68,62.8,lorawan,0
LURIN_001,2026-01-21T18:00:00Z,0.28,1.0,1.0,0.64,-73,62.5,gsm,0
LURIN_001,2026-01-21T19:00:00Z,0.35,1.1,12.0,0.9,-72,62.4,gsm,0
LURIN_001,2026-01-21T20:00:00Z,0.33,2.9,1.7,0.6,-72,62.3,gsm,0
LURIN_001,2026-01-21T21:00:00Z,0.29,0.5,5.4,0.54,-75,62.1,lorawan,0
LURIN_001,2026-01-21T22:00:00Z,0.34,0.1,2.2,0.64,-82,61.7,satelital,0
LURIN_001,2026-01-21T23:00:00Z,0.26,3.0,2.4,0.5,-75,61.3,gsm,0
MANTARO_001,2026-01-20T00:00:00Z,1.3,2.1,11.1,2.87,-87,96.6,satelital,0
MANTARO_001,2026-01-20T01:00:00Z,1.19,1.7,4.4,2.72,-65,96.5,satelital,0
MANTARO_001,2026-01-20T02:00:00Z,1.11,0.2,11.7,2.6,-60,96.2,lorawan,0
MANTARO_001,2026-01-20T03:00:00Z,1.06,0.4,6.0,2.35,-81,96.0,gsm,0
MANTARO_001,2026-01-20T04:00:00Z,0.96,2.5,3.0,1.82,-63,95.8,gsm,0
MANTARO_001,2026-01-20T05:00:00Z,0.89,0.5,7.9,2.2,-94,95.5,gsm,0
MANTARO_001,2026-01-20T06:00:00Z,0.82,0.8,2.5,1.5,-76,95.0,gsm,0
MANTARO_001,2026-01-20T07:00:00Z,0.77,1.4,8.3,1.67,-75,94.8,satelital,0
MANTARO_001,2026-01-20T08:00:00Z,0.7,0.4,4.4,1.52,-89,94.6,satelital,0
MANTARO_001,2026-01-20T09:00:00Z,0.65,1.3,11.6,1.66,-85,94.2,gsm,0
MANTARO_001,2026-01-20T10:00:00Z,0.58,2.6,6.0,1.26,-92,94.0,satelital,0
MANTARO_001,2026-01-20T11:00:00Z,0.5,2.5,8.1,0.94,-72,93.8,satelital,0
MANTARO_001,2026-01-20T12:00:00Z,0.48,0.2,6.7,1.01,-88,93.5,lorawan,0
MANTARO_001,2026-01-20T13:00:00Z,0.43,2.4,4.1,0.84,-108,93.2,satelital,0
MANTARO_001,2026-01-20T14:00:00Z,0.28,1.6,1.8,0.71,-76,93.0,gsm,0
MANTARO_001,2026-01-20T15:00:00Z,0.33,1.6,8.5,0.69,-76,92.6,gsm,0
MANTARO_001,2026-01-20T16:00:00Z,0.32,1.9,7.2,0.82,-92,92.3,lorawan,0
MANTARO_001,2026-01-20T17:00:00Z,0.33,2.2,9.3,0.66,-120,92.0,satelital,0
MANTARO_001,2026-01-20T18:00:00Z,0.34,2.1,4.9,0.85,-87,91.6,gsm,0
MANTARO_001,2026-01-20T19:00:00Z,0.27,2.0,6.3,0.68,-79,91.3,lorawan,0
MANTARO_001,2026-01-20T20:00:00Z,0.35,0.8,3.6,0.85,-64,91.0,satelital,0
MANTARO_001,2026-01-20T21:00:00Z,0.31,2.8,8.7,0.69,-73,90.5,lorawan,0
MANTARO_001,2026-01-20T22:00:00Z,0.29,0.9,8.6,0.58,-61,90.2,gsm,0
MANTARO_001,2026-01-20T23:00:00Z,0.27,0.4,7.4,0.63,-92,89.9,satelital,0
MANTARO_001,2026-01-21T00:00:00Z,0.31,0.3,9.2,0.79,-65,89.6,lorawan,0
MANTARO_001,2026-01-21T01:00:00Z,0.33,0.9,3.4,0.77,-93,89.4,lorawan,0
MANTARO_001,2026-01-21T02:00:00Z,0.33,2.5,11.2,0.8,-77,89.3,lorawan,0
MANTARO_001,2026-01-21T03:00:00Z,0.3,1.8,11.1,0.69,-87,89.0,satelital,0
MANTARO_001,2026-01-21T04:00:00Z,0.31,2.4,4.0,0.74,-77,88.9,lorawan,0
MANTARO_001,2026-01-21T05:00:00Z,12.3,2.6,10.8,0.56,-87,88.5,lorawan,1
MANTARO_001,2026-01-21T06:00:00Z,0.28,0.7,9.0,0.67,-80,88.4,lorawan,0
MANTARO_001,2026-01-21T07:00:00Z,0.34,0.5,8.2,0.82,-77,88.0,lorawan,0
MANTARO_001,2026-01-21T08:00:00Z,0.31,0.4,1.8,0.66,-61,87.7,lorawan,0
MANTARO_001,2026-01-21T09:00:00Z,0.3,2.0,7.1,0.67,-88,87.4,gsm,0
MANTARO_001,2026-01-21T10:00:00Z,0.34,0.6,6.4,0.73,-64,87.1,gsm,0
MANTARO_001,2026-01-21T11:00:00Z,0.31,0.2,1.6,0.7,-94,86.7,lorawan,0
MANTARO_001,2026-01-21T12:00:00Z,0.26,1.7,0.5,0.67,-117,86.2,lorawan,0
MANTARO_001,2026-01-21T13:00:00Z,0.64,12.9,127.8,1.66,-71,86.0,gsm,1
MANTARO_001,2026-01-21T14:00:00Z,1.01,13.9,90.6,2.62,-81,85.7,lorawan,1
MANTARO_001,2026-01-21T15:00:00Z,1.32,10.2,90.2,2.62,-83,85.4,gsm,1
MANTARO_001,2026-01-21T16:00:00Z,1.71,6.3,54.4,4.29,-93,85.2,gsm,0
MANTARO_001,2026-01-21T17:00:00Z,1.91,6.4,57.7,3.77,-63,84.8,lorawan,0
MANTARO_001,2026-01-21T18:00:00Z,1.88,2.2,3.8,3.87,-62,84.6,satelital,0
MANTARO_001,2026-01-21T19:00:00Z,1.76,1.7,7.1,4.12,-73,84.2,gsm,0
MANTARO_001,2026-01-21T20:00:00Z,1.71,1.6,8.4,3.33,-81,83.9,gsm,0
MANTARO_001,2026-01-21T21:00:00Z,1.67,1.4,0.7,3.71,-74,83.7,satelital,0
MANTARO_001,2026-01-21T22:00:00Z,1.62,0.3,8.7,3.79,-83,83.3,gsm,0
MANTARO_001,2026-01-21T23:00:00Z,1.54,1.7,5.8,3.95,-88,83.2,satelital,0
SANTA_001,2026-01-20T00:00:00Z,1.45,1.7,9.3,3.03,-64,90.9,gsm,0
SANTA_001,2026-01-20T01:00:00Z,1.39,2.5,11.0,3.13,-79,90.7,gsm,0
SANTA_001,2026-01-20T02:00:00Z,1.34,1.3,1.8,3.31,-74,90.4,satelital,0
SANTA_001,2026-01-20T03:00:00Z,1.35,1.9,5.9,2.61,-61,90.0,lorawan,0
SANTA_001,2026-01-20T04:00:00Z,1.19,2.5,0.9,2.15,-91,89.9,lorawan,0
SANTA_001,2026-01-20T05:00:00Z,1.2,1.4,0.7,3.04,-114,68.9,gsm,0
SANTA_001,2026-01-20T06:00:00Z,1.09,2.9,0.2,2.66,-89,68.4,lorawan,0
SANTA_001,2026-01-20T07:00:00Z,1.02,1.6,9.8,2.14,-81,68.1,lorawan,0
SANTA_001,2026-01-20T08:00:00Z,0.99,2.6,9.1,2.22,-64,54.6,gsm,0
SANTA_001,2026-01-20T09:00:00Z,0.98,1.7,10.3,1.8,-65,54.4,lorawan,0
SANTA_001,2026-01-20T10:00:00Z,0.87,0.8,6.5,2.16,-86,54.3,gsm,0
SANTA_001,2026-01-20T11:00:00Z,0.85,2.8,3.6,2.11,-71,53.9,lorawan,0
SANTA_001,2026-01-20T12:00:00Z,0.74,2.1,0.9,1.39,-70,53.7,satelital,0
SANTA_001,2026-01-20T13:00:00Z,0.69,0.8,11.9,1.76,-71,53.5,gsm,0
SANTA_001,2026-01-20T14:00:00Z,0.65,0.7,0.9,1.58,-72,53.3,lorawan,0
SANTA_001,2026-01-20T15:00:00Z,0.59,1.3,9.1,1.27,-119,53.0,gsm,0
SANTA_001,2026-01-20T16:00:00Z,0.56,1.8,3.9,1.18,-80,52.8,lorawan,0
SANTA_001,2026-01-20T17:00:00Z,0.5,0.5,3.2,0.97,-91,52.6,lorawan,0
SANTA_001,2026-01-20T18:00:00Z,0.45,1.5,7.4,0.81,-71,52.4,satelital,0
SANTA_001,2026-01-20T19:00:00Z,0.42,1.3,9.9,0.86,-65,52.0,satelital,0
SANTA_001,2026-01-20T20:00:00Z,0.36,0.9,8.3,0.72,-70,51.8,gsm,0
SANTA_001,2026-01-20T21:00:00Z,0.25,3.0,2.2,0.6,-77,51.3,lorawan,0
SANTA_001,2026-01-20T22:00:00Z,0.61,13.2,100.5,1.22,-71,50.9,gsm,1
SANTA_001,2026-01-20T23:00:00Z,1.05,9.6,77.1,2.35,-61,50.5,lorawan,0
SANTA_001,2026-01-21T00:00:00Z,1.24,8.2,71.3,2.79,-74,50.2,satelital,0
SANTA_001,2026-01-21T01:00:00Z,1.61,6.9,47.4,3.78,-66,50.0,gsm,0
SANTA_001,2026-01-21T02:00:00Z,1.87,7.4,73.5,4.74,-86,49.8,satelital,0
SANTA_001,2026-01-21T03:00:00Z,1.83,0.6,5.8,4.31,-120,49.6,gsm,0
SANTA_001,2026-01-21T04:00:00Z,1.76,2.4,11.2,3.95,-66,49.4,satelital,0
SANTA_001,2026-01-21T05:00:00Z,1.73,0.6,7.9,4.34,-95,49.1,lorawan,0
SANTA_001,2026-01-21T06:00:00Z,1.67,2.1,9.6,3.72,-88,48.9,satelital,0
SANTA_001,2026-01-21T07:00:00Z,1.58,1.9,7.2,3.28,-76,48.4,gsm,0
SANTA_001,2026-01-21T08:00:00Z,1.49,0.4,1.4,3.51,-87,48.1,satelital,0
SANTA_001,2026-01-21T09:00:00Z,1.5,1.9,8.3,3.37,-75,47.8,gsm,0
SANTA_001,2026-01-21T10:00:00Z,1.46,1.1,0.1,3.75,-64,47.5,satelital,0
SANTA_001,2026-01-21T11:00:00Z,1.32,0.2,0.4,2.67,-66,47.2,satelital,0
SANTA_001,2026-01-21T12:00:00Z,1.29,0.3,1.4,2.7,-67,46.8,satelital,0
SANTA_001,2026-01-21T13:00:00Z,1.27,2.5,9.0,2.74,-67,46.5,lorawan,0
SANTA_001,2026-01-21T14:00:00Z,1.13,0.7,9.7,2.68,-87,46.2,lorawan,0
SANTA_001,2026-01-21T15:00:00Z,1.05,1.7,6.4,2.71,-63,46.0,gsm,0
SANTA_001,2026-01-21T16:00:00Z,0.99,0.4,9.0,2.0,-87,45.6,gsm,0
SANTA_001,2026-01-21T17:00:00Z,0.94,0.7,10.1,2.17,-91,45.3,lorawan,0
SANTA_001,2026-01-21T18:00:00Z,0.88,2.2,8.3,1.93,-90,44.9,satelital,0
SANTA_001,2026-01-21T19:00:00Z,0.79,2.1,10.2,2.03,-75,44.5,satelital,0
SANTA_001,2026-01-21T20:00:00Z,0.76,0.4,10.2,1.83,-101,44.4,lorawan,0
SANTA_001,2026-01-21T21:00:00Z,0.7,0.0,11.5,1.33,-78,44.0,satelital,0
SANTA_001,2026-01-21T22:00:00Z,0.64,1.1,10.8,1.31,-90,43.6,lorawan,0
SANTA_001,2026-01-21T23:00:00Z,0.58,0.2,7.1,1.05,-68,43.4,satelital,0
CHIRA_001,2026-01-20T00:00:00Z,25.0,0.9,10.6,2.83,-86,91.8,gsm,1
CHIRA_001,2026-01-20T01:00:00Z,1.14,0.5,4.2,2.89,-82,91.4,lorawan,0
CHIRA_001,2026-01-20T02:00:00Z,1.06,0.4,8.8,2.58,-80,91.2,gsm,0
CHIRA_001,2026-01-20T03:00:00Z,1.08,0.9,11.3,2.7,-83,91.0,satelital,0
CHIRA_001,2026-01-20T04:00:00Z,0.99,2.4,9.5,1.97,-95,90.7,satelital,0
CHIRA_001,2026-01-20T05:00:00Z,0.97,2.6,6.8,2.34,-94,90.2,lorawan,0
CHIRA_001,2026-01-20T06:00:00Z,0.87,0.1,0.7,2.0,-70,89.9,gsm,0
CHIRA_001,2026-01-20T07:00:00Z,0.89,0.5,1.0,2.3,-91,89.7,satelital,0
CHIRA_001,2026-01-20T08:00:00Z,0.81,2.5,0.7,1.75,-84,89.4,gsm,0
CHIRA_001,2026-01-20T09:00:00Z,0.77,0.0,6.0,1.89,-78,89.2,lorawan,0
CHIRA_001,2026-01-20T10:00:00Z,0.69,0.1,9.7,1.64,-66,88.9,lorawan,0
CHIRA_001,2026-01-20T11:00:00Z,0.65,1.7,4.4,1.47,-103,88.5,lorawan,0
CHIRA_001,2026-01-20T12:00:00Z,0.7,1.4,4.6,1.74,-69,88.2,lorawan,0
CHIRA_001,2026-01-20T13:00:00Z,0.82,12.5,88.4,1.81,-62,87.7,satelital,1
CHIRA_001,2026-01-20T14:00:00Z,1.22,10.2,72.6,2.74,-76,87.6,lorawan,1
CHIRA_001,2026-01-20T15:00:00Z,1.59,11.3,90.3,4.01,-95,87.2,lorawan,1
CHIRA_001,2026-01-20T16:00:00Z,2.07,9.1,85.3,3.73,-76,86.8,gsm,0
CHIRA_001,2026-01-20T17:00:00Z,1.9,1.3,11.5,3.85,-62,86.7,satelital,0
CHIRA_001,2026-01-20T18:00:00Z,1.89,2.2,7.0,4.0,-87,86.4,satelital,0
CHIRA_001,2026-01-20T19:00:00Z,1.77,2.8,4.7,3.83,-87,86.2,gsm,0
CHIRA_001,2026-01-20T20:00:00Z,1.7,0.3,5.4,3.55,-66,85.8,lorawan,0
CHIRA_001,2026-01-20T21:00:00Z,1.67,2.4,3.7,3.29,-80,85.3,satelital,0
CHIRA_001,2026-01-20T22:00:00Z,1.52,2.0,3.1,3.23,-80,85.0,lorawan,0
CHIRA_001,2026-01-20T23:00:00Z,1.53,0.4,0.1,2.91,-90,84.6,satelital,0
CHIRA_001,2026-01-21T00:00:00Z,1.46,0.2,12.0,3.57,-74,84.5,satelital,0
CHIRA_001,2026-01-21T01:00:00Z,1.36,2.8,5.2,2.86,-84,84.2,satelital,0
